Hospital_Name_English,Hospital_Name_Arabic,Governorate_English,Governorate_Arabic,City_District,Full_Address,Type,Specialty
Ain Shams University Hospital,مستشفى عين شمس الجامعي,Cairo,القاهرة,Abbaseya,"Khalifa El-Maamoun St.,Abbaseya,Cairo",University,General
Cairo University Hospital (Qasr El Einy),مستشفى قصر العيني,Cairo,القاهرة,El-Sayeda Zeinab,"El-Sayeda Zeinab St.,Old Cairo",University,General
Al-Azhar University Hospital (Damerdash),مستشفى الأزهر الجامعي (دامرداش),Cairo,القاهرة,Nasr City,"Abbas El-Akkad St.,Nasr City",University,General
Nasser Institute Hospital,معهد ناصر,Cairo,القاهرة,Shoubra,"Ramses St.,Shoubra",Teaching,General
El Demerdash Hospital,مستشفى الدمرداش,Cairo,القاهرة,Abbaseya,"Khalifa El-Maamoun St.,Abbaseya",University,General
El Monira General Hospital,مستشفى المنيرة العام,Cairo,القاهرة,El-Monira,"El-Monira St.,Old Cairo",Public,General
El Sahel Teaching Hospital,مستشفى الساحل التعليمي,Cairo,القاهرة,El-Sahel,"El-Sahel St.,Shoubra",Teaching,General
El Matareya Teaching Hospital,مستشفى المطرية التعليمي,Cairo,القاهرة,El-Matareya,"El-Matareya St.,Public",Teaching,General
Heliopolis Hospital,مستشفى مصر الجديدة,Cairo,القاهرة,Heliopolis,"El-Nozha St.,Heliopolis",Public,General
Dar El Fouad Hospital,مستشفى دار الفؤاد,Cairo,القاهرة,6th October,6th October City,Private,General
Dar El Oyoun Hospital,مستشفى دار العيون,Cairo,القاهرة,Nasr City,"Abbas El-Akkad St.,Nasr City",Private,Ophthalmology
Wadi El Neel Hospital,مستشفى وادي النيل,Cairo,القاهرة,Maadi,"Port Said St.,Maadi",Private,General
El Nozha International Hospital,مستشفى النزهة الدولي,Cairo,القاهرة,El-Nozha,El-Nozha St.,Private,General
El Salam International Hospital,مستشفى السلام الدولي,Cairo,القاهرة,El-Mohandeseen,"26th July St.,Mohandeseen",Private,General
Andalusia Hospital,مستشفى أندلسية,Cairo,القاهرة,Maadi,"Nasr St.,Maadi",Private,General
Cleopatra Hospital,مستشفى كليوباترا,Cairo,القاهرة,Heliopolis,"Cleopatra St.,Heliopolis",Private,General
Al Shorouk Hospital,مستشفى الشروق,Cairo,القاهرة,El-Shorouk City,El-Shorouk City,Private,General
Badr Hospital (Helwan University),مستشفى بدر جامعة حلوان,Cairo,القاهرة,Helwan,"Helwan University Campus,Helwan",University,General
El Haram Hospital,مستشفى الهرم,Cairo,القاهرة,El-Haram,"El-Haram St.,Giza",Public,General
El Basateen Hospital,مستشفى البساتين,Cairo,القاهرة,El-Basateen,El-Basateen St.,Public,General
Abou El Reesh Children Hospital,مستشفى أبو الريش للأطفال,Cairo,القاهرة,El-Sayeda Zeinab,"El-Sayeda Zeinab St.,Old Cairo",University,Pediatrics
El Mounira Children Hospital,مستشفى المنيرة للأطفال,Cairo,القاهرة,El-Monira,El-Monira St.,University,Pediatrics
National Cancer Institute,المعهد القومي للأورام,Cairo,القاهرة,Fom El-Khalig,"Fom El-Khalig St.,Old Cairo",University,Oncology
Cairo Institute of Psychiatry,مستشفى الصحة النفسية بالعباسية,Cairo,القاهرة,Abbaseya,Abbaseya St.,Public,Psychiatry
El Helal Eye Hospital,مستشفى الهلال للعيون,Cairo,القاهرة,El-Daher,El-Daher St.,Public,Ophthalmology
El Galaa Military Hospital,مستشفى الجلاء العسكري,Cairo,القاهرة,El-Galaa,El-Galaa St.,Military,General
Maadi Military Hospital,مستشفى المعادي العسكري,Cairo,القاهرة,Maadi,Maadi St.,Military,General
Kobri El Kobba Military Hospital,مستشفى كوبري القبة العسكري,Cairo,القاهرة,Kobri El Kobba,Kobri El Kobba St.,Military,General
Air Force Hospital,مستشفى القوات الجوية,Cairo,القاهرة,Heliopolis,Heliopolis St.,Military,General
Police Hospital,مستشفى الشرطة,Cairo,القاهرة,Agouza,Agouza St.,Police,General
Railway Hospital,مستشفى السكة الحديد,Cairo,القاهرة,Ramses,Ramses St.,Public,General
El Husseiny Hospital,مستشفى الحسيني,Cairo,القاهرة,El-Sayeda Zeinab,El-Sayeda Zeinab St.,Public,General
El Zahraa University Hospital,مستشفى الزهراء الجامعي,Cairo,القاهرة,El-Abbaseya,El-Abbaseya St.,University,General
Saudi German Hospital Cairo,مستشفى سعودي جيرمان بالقاهرة,Cairo,القاهرة,Nasr City,Abbas El-Akkad St.,Private,General
El Borg Hospital,مستشفى البرج,Cairo,القاهرة,El-Mohandeseen,26th July St.,Private,General
